abr,network,segment size (s),rebuffering_count,rebuffering_mean,rebuffering_std,rebuffering_skew,rebuffering_max,rebuffering_sum,qualitychange_mean,qualitychange_skew,qualitychange_count,qualitychange_sum,qualitychange_std,qualitychange_max,latency_mean,latency_std,latency_skew,latency_min,latency_median,latency_max,bitrate_mean,bitrate_std,bitrate_skew,bitrate_min,bitrate_median,bitrate_max,bw_mean,bw_std,buffer_mean,buffer_std,resolution_mean,resolution_std,resolution_skew,resolution_min,resolution_median,resolution_max
bola,cascade20,2,0,0,0,0,0,0,989756.0976,1.786066183,41,40580000,485370.4661,2500000,18.70072727,7.466275703,-0.2858548786,0,19.403,30.123,1943398.693,804852.4002,0.2534014763,365000,2000000,4500000,4624.735593,1434.483874,3.302761745,2.885500153,643.9215686,136.0932115,-0.5075752209,360,720,1080
bola,cascade20,2,15,0.7633333333,0.9321608281,1.477715885,3.25,11.45,1243103.448,2.185489313,29,36050000,543743.0242,2635000,21.62936486,8.421078034,-0.8600076069,4.821,25.485,32.521,1602248.322,885817.0065,0.6993476278,365000,1100000,4500000,3970.176271,1944.466862,4.472942953,4.322358021,563.7583893,139.9878205,0.4252921752,360,480,1080
bola,amazonfcc,2,44,1.044772727,1.214360754,1.534298914,5.07,45.97,1576458.333,2.288324033,48,75670000,1043709.182,5635000,19.69709459,10.6318107,-0.1028358226,4.917,25.638,34.853,1293851.852,1103176.036,1.804167436,365000,1100000,6000000,5024.695205,3947.402001,1.735436242,2.218749851,520,190.0196376,1.037577768,360,480,1080
bola,amazonfcc,2,20,2.129,1.746997123,1.90602036,8.12,42.58,458750,2.523276465,4,1835000,180451.2506,735000,111.025539,74.49788705,0.2824674276,4.723,102.721,249.721,446296.2963,185501.3611,2.203489903,365000,365000,1100000,817.1156463,812.322781,8.71854698,5.315856168,364.4444444,23.09401077,4.902903378,360,360,480
bola,amazonfcc,2,44,1.044772727,1.214360754,1.534298914,5.07,45.97,1488958.333,2.28329532,24,35735000,860913.4072,4135000,19.69709459,10.6318107,-0.1028358226,4.917,25.638,34.853,1116566.265,965086.2238,1.525589891,365000,730000,4500000,2361.741497,1951.191214,0.723885906,1.389169776,487.2289157,175.1536834,1.315474765,360,360,1080
bola,amazonfcc,2,36,2.411388889,3.369290008,2.095531852,15.59,86.81,1601857.143,2.179351938,35,56065000,931101.9521,4135000,26.25830872,6.831483895,-0.6038838772,4.679,26.7975,44.714,1274743.59,997058.788,1.075048203,365000,1100000,4500000,3070.650847,2260.255131,1.749003356,2.283150885,528.2051282,183.1177094,0.7793901684,360,480,1080
bola,amazonfcc,2,45,1.232444444,1.571332896,1.95838479,6.66,55.46,1306206.897,4.299736042,29,37880000,746547.1426,5635000,23.62812458,5.23936017,-0.5081729647,0,22.614,35.872,1259781.022,1121587.614,2.084915862,365000,1100000,6000000,2987.785467,2806.140454,1.298033557,1.826441072,516.7883212,184.9679396,1.146361173,360,480,1080
bola,amazonfcc,2,26,1.332307692,1.842776834,1.742164995,6.97,34.64,1231896.552,2.14867213,29,35725000,838495.5305,4135000,51.74075503,40.98068627,1.031575522,4.683,30.463,152.412,1008600,881955.199,1.433266754,365000,365000,4500000,3977.343434,1966.212246,1.26747651,2.320597179,478.4,171.4094198,1.143823696,360,360,1080
bola,amazonfcc,2,35,2.319428571,2.960950705,1.426857162,10.65,81.18,1952083.333,2.005011121,48,93700000,1369268.596,5635000,25.73115101,7.268308545,-0.8051906654,4.888,27.78,40.219,1601557.377,1387441.322,1.675375425,365000,1100000,6000000,4983.565068,4474.568738,1.689248322,2.374430957,566.557377,216.6833791,0.7674639809,360,480,1080
bola,amazonfcc,2,40,3.251,5.50081896,2.342855245,21.84,130.04,1607083.333,2.340860817,36,57855000,1058618.486,5635000,28.93850505,9.378283088,-0.2470461725,4.397,29.894,51.826,1853950,1320198.427,0.877269282,365000,2000000,6000000,5982.503425,3340.165293,1.50045302,2.496949685,610.8,226.9769712,0.5900174626,360,720,1080
bola,amazonfcc,2,11,1.361818182,1.764317535,1.068932528,4.72,14.98,1217500,2.587348703,10,12175000,579016.2719,2635000,70.24330201,62.25531288,0.5778305613,4.79,49.318,197.818,783557.6923,619507.5025,1.980989473,365000,365000,3000000,1245.683673,1377.446794,0.8321845638,1.351378419,426.9230769,101.9715159,1.754211256,360,360,720
bola,amazonfcc,2,18,2.353333333,3.97879083,2.014361084,14.14,42.36,1360416.667,3.128617448,24,32650000,989230.8118,5635000,49.03983502,40.27892212,1.032697453,4.73,30.86,148.36,1469850.746,1330439.37,1.889859358,365000,1100000,6000000,3397.815068,2910.75886,1.273580537,1.581311914,549.8507463,206.9511181,0.8958231755,360,480,1080
